t,Date,XOM,CVX,COP,EOG
344,5/30/17,81.099998,104.059998,44.790001000000004,89.620003
345,5/31/17,80.5,103.480003,44.689999,90.309998
346,6/1/17,80.699997,104.269997,44.860001000000004,90.400002
347,6/2/17,79.5,103.110001,44.259997999999996,89.68
348,6/5/17,80.120003,103.190002,44.02,89.199997
349,6/6/17,81.209999,104.16999799999999,44.48,90.83000200000001
350,6/7/17,80.910004,103.769997,43.560001,88.150002
351,6/8/17,80.620003,104.0,43.07,88.110001
352,6/9/17,82.129997,106.400002,44.82,90.08000200000001
353,6/12/17,82.93,108.040001,45.720001,89.879997
354,6/13/17,82.959999,108.129997,46.43,90.559998
355,6/14/17,82.07,106.599998,45.419998,88.93
356,6/15/17,82.260002,106.33000200000001,45.389998999999996,87.040001
357,6/16/17,83.489998,108.349998,46.529999,88.519997
358,6/19/17,82.760002,107.459999,46.360001000000004,88.07
359,6/20/17,82.309998,106.480003,45.82,87.849998
360,6/21/17,81.440002,104.489998,44.950001,87.120003
361,6/22/17,81.08000200000001,104.449997,44.810001,87.690002
362,6/23/17,81.610001,105.0,44.830002,87.790001
363,6/26/17,81.239998,104.139999,44.23,87.389999
364,6/27/17,81.110001,104.07,43.970001,88.0
365,6/28/17,81.529999,104.279999,43.959998999999996,89.019997
366,6/29/17,80.699997,104.120003,44.080002,90.0
367,6/30/17,80.730003,104.33000200000001,43.959998999999996,90.519997
368,7/3/17,82.099998,106.300003,45.66,92.370003
369,7/5/17,80.849998,104.620003,44.16,90.300003
370,7/6/17,80.120003,103.82,43.310001,88.629997
371,7/7/17,80.220001,103.489998,43.0,88.440002
372,7/10/17,80.160004,103.040001,43.240002000000004,89.620003
373,7/11/17,80.599998,103.120003,43.349998,90.629997
374,7/12/17,80.959999,103.889999,43.240002000000004,90.57
375,7/13/17,80.970001,104.129997,43.25,91.809998
376,7/14/17,81.279999,104.440002,43.450001,91.870003
377,7/17/17,80.860001,104.209999,43.189999,91.900002
378,7/18/17,80.599998,103.720001,43.07,91.699997
379,7/19/17,80.849998,104.459999,43.66,94.309998
380,7/20/17,80.860001,104.629997,43.23,93.660004
381,7/21/17,80.120003,103.25,42.650002,92.910004
382,7/24/17,79.870003,103.199997,42.610001000000004,93.309998
383,7/25/17,80.269997,104.389999,43.650002,94.870003
384,7/26/17,80.370003,105.120003,43.700001,94.75
385,7/27/17,80.83000200000001,106.110001,44.66,95.980003
386,7/28/17,79.599998,108.120003,45.259997999999996,95.41999799999999
387,7/31/17,80.040001,109.190002,45.369999,95.139999
388,8/1/17,80.16999799999999,110.779999,44.75,94.459999
389,8/2/17,80.599998,110.459999,45.610001000000004,92.32
390,8/3/17,80.489998,109.43,44.91,88.900002
391,8/4/17,80.209999,110.110001,45.560001,90.449997
392,8/7/17,80.160004,109.779999,45.169998,89.66999799999999
393,8/8/17,79.959999,110.349998,45.630001,91.150002
394,8/9/17,80.209999,110.889999,45.650002,90.349998
395,8/10/17,78.970001,110.110001,44.970001,89.120003
396,8/11/17,78.209999,109.230003,44.790001000000004,88.529999
397,8/14/17,78.230003,108.709999,44.540001000000004,87.989998
398,8/15/17,78.040001,108.57,44.5,87.019997
399,8/16/17,77.470001,106.839996,43.689999,84.980003
400,8/17/17,76.260002,105.91999799999999,43.0,83.379997
401,8/18/17,76.639999,106.480003,43.110001000000004,84.089996
402,8/21/17,76.379997,105.779999,42.5,83.690002
403,8/22/17,76.739998,106.360001,43.189999,84.239998
404,8/23/17,76.610001,106.610001,43.689999,85.110001
405,8/24/17,76.33000200000001,107.440002,43.299999,84.620003
406,8/25/17,76.720001,108.230003,43.580002,84.510002
407,8/28/17,76.470001,107.760002,43.049999,83.400002
408,8/29/17,76.449997,107.860001,42.849998,83.150002
409,8/30/17,76.099998,107.730003,43.41,83.66999799999999
410,8/31/17,76.33000200000001,107.620003,43.66,84.989998
411,9/1/17,76.57,108.760002,44.240002000000004,85.650002
412,9/5/17,77.18,109.440002,44.389998999999996,85.870003
413,9/6/17,78.779999,111.790001,45.060001,87.849998
414,9/7/17,79.029999,111.800003,45.110001000000004,88.599998
415,9/8/17,78.82,110.779999,44.470001,86.779999
416,9/11/17,79.25,112.519997,44.93,87.93
417,9/12/17,79.5,112.489998,44.93,88.470001
418,9/13/17,79.769997,114.18,45.560001,91.099998
